yy,male,female
1960,12550691,12461683
1961,12936583,12829090
1962,13320983,13192047
1963,13708120,13553627
1964,14081950,13902205
1965,14452831,14251843
1966,14829861,14605710
1967,15205393,14925590
1968,15576098,15262204
1969,15940965,15603301
1970,16308607,15932220
1971,16648884,16233820
1972,16955438,16549968
1973,17234877,16868272
1974,17514223,17178043
1975,17765828,17514897
1976,18058503,17790020
1977,18349416,18062379
1978,18637254,18331931
1979,18929361,18604875
1980,19235736,18888039
1981,19535680,19187568
1982,19837392,19488960
1983,20129120,19781283
1984,20375175,20030781
1985,20575600,20230144
1986,20771997,20441677
1987,20959980,20661710
1988,21155226,20876021
1989,21357389,21091649
1990,21568181,21301102
1991,21783914,21511790
1992,22013655,21734307
1993,22242554,21952074
1994,22472496,22169044
1995,22705329,22387662
1996,22924512,22600169
1997,23148092,22805488
1998,23295727,22990776
1999,23457837,23158840
2000,23666769,23341342
2001,23854971,23515193
2002,23991377,23653359
2003,24120872,23771458
2004,24210740,23871779
2005,24243234,23941327
2006,24369561,24068731
2007,24491190,24192448
2008,24671648,24383060
2009,24774341,24533494
2010,24881114,24672998
2011,25069867,24866771
2012,25187380,25012473
2013,25285319,25143574
2014,25445077,25301582
2015,25585894,25429053
2016,25696987,25572567
2017,25768055,25654452
2018,25877195,25752317
2019,25952070,25827133
